郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
115,南港區,19電燈＆綜合＆電力小計,**,"176,494","84,835,408 ",,,
115,南港區,20臨時電燈,12,0,"33,698 ",,,
115,南港區,21臨時電力,13,"1,599","304,466 ",,,
115,南港區,22臨時用電小計,**,"1,599","338,164 ",,,
115,南港區,23總計（含臨時用電）,**,"176,494","85,173,572 ",,,
115,南港區,24表燈合計,**,"5,722","28,162,643 ",,,
115,南港區,25綜合＆電力合計,**,"170,772","57,010,929 ",,,
116,文山區,1表燈非營業用,"99,455",288,"33,424,431 ",,,
116,文山區,2表燈營業用,"5,003","8,710","6,903,987 ",,,
116,文山區,3表燈小計,**,"8,998","40,328,418 ",,,
116,文山區,4低壓綜合裝置非營業用,＊,0,0 ,,,
116,文山區,5低壓綜合需量非營業用,790,"24,947","3,526,284 ",,,
116,文山區,6低壓綜合非營業用電小計,**,"24,947","3,526,284 ",,,
116,文山區,7低壓綜合裝置營業用,＊,74,"8,012 ",,,
116,文山區,8低壓綜合需量營業用,310,"10,435","2,838,768 ",,,
116,文山區,9低壓綜合營業用電小計,**,"10,509","2,846,780 ",,,
116,文山區,10低壓綜合用電小計,**,"35,456","6,373,064 ",,,
116,文山區,11低壓裝置電力,29,300,"65,423 ",,,
116,文山區,12低壓需量電力,26,"1,043","166,490 ",,,
116,文山區,13低壓電力小計,**,"1,343","231,913 ",,,
116,文山區,14高壓電力,98,"45,145","13,264,239 ",,,
116,文山區,15特高壓電力,＊,"23,950","10,363,411 ",,,
116,文山區,16高＆特高壓電力小計,**,"69,095","23,627,650 ",,,
116,文山區,17電力小計,**,"70,438","23,859,563 ",,,
116,文山區,18綜合＆電力小計,**,"105,894","30,232,627 ",,,
116,文山區,19電燈＆綜合＆電力小計,**,"114,892","70,561,045 ",,,
116,文山區,20臨時電燈,15,0,"25,575 ",,,
116,文山區,21臨時電力,23,"1,665","345,528 ",,,
116,文山區,22臨時用電小計,**,"1,665","371,103 ",,,
116,文山區,23總計（含臨時用電）,**,"114,892","70,932,148 ",,,
116,文山區,24表燈合計,**,"8,998","40,353,993 ",,,
116,文山區,25綜合＆電力合計,**,"105,894","30,578,155 ",,,
200,仁愛區,1表燈非營業用,"22,684",419,"5,125,405 ",,,
200,仁愛區,2表燈營業用,"3,219","5,251","3,869,509 ",,,
200,仁愛區,3表燈小計,**,"5,670","8,994,914 ",,,
200,仁愛區,4低壓綜合裝置非營業用,＊,0,0 ,,,
200,仁愛區,5低壓綜合需量非營業用,137,"3,767","449,609 ",,,
200,仁愛區,6低壓綜合非營業用電小計,**,"3,767","449,609 ",,,
